seed,acc,f1,mcc,prec,rec,roc_auc,pr_auc,tn,fp,fn,tp
42,0.9924670457839966,0.9940476417541504,0.9837912321090698,0.9940476190476191,0.9940476190476191,0.9999084249084249,0.9999469316533717,193,2,2,334
123,0.9981167316436768,0.9985097050666809,0.9959603548049927,1.0,0.9970238095238095,1.0,1.0,195,0,1,335
456,0.9887005686759949,0.9910179972648621,0.9759181141853333,0.9969879518072289,0.9851190476190477,0.9996184371184371,0.999781259920393,194,1,5,331
2024,0.9962335228919983,0.997032642364502,0.9919108152389526,0.9940828402366864,1.0,0.9999084249084249,0.9999470111344745,193,2,0,336
9999,0.9830508232116699,0.9866666793823242,0.9634837508201599,0.9823008849557522,0.9910714285714286,0.9990537240537241,0.9994689636569289,189,6,3,333
