comparison,bucket,n,sage_f1,hetero_f1,delta_f1,delta_auc,mcnemar_p
HeteroSAGE_vs_SAGE,Low homophily (<0.5),426,0.8044±0.0069,0.8167±0.0066,0.0123,0.0051,0.04417134490844271
HeteroSAGE_vs_SAGE,High homophily (>=0.5),670,0.8305±0.0017,0.8346±0.0024,0.0041,-0.0029,0.4414183267820536
HeteroSAGE_vs_SAGE,Overall,1096,0.8208±0.0036,0.8281±0.0040,0.0073,-0.0004,0.041140632972026185
