seed,thr,acc,f1,mcc
42,0.5,0.8655959425190194,0.88,0.7298332062048202
123,0.5,0.8562975486052409,0.8751835535976505,0.7144566175279383
456,0.5,0.8647506339814032,0.8820058997050148,0.731025839356943
2024,0.5,0.8596787827557059,0.8782991202346041,0.7216986351662812
9999,0.5,0.8622147083685545,0.8798820928518791,0.7259493934961765
